Kabupaten/Kota,Garis Kemiskinan - Maret (Rp),Garis Kemiskinan - September (Rp),Jumlah Penduduk Miskin - Maret (ribu) (Ribu),Jumlah Penduduk Miskin - September (ribu) (Ribu),Persentase Penduduk Miskin - Maret,Persentase Penduduk Miskin - September
Bogor,373799,...,395.03,...,6.66,...
Sukabumi,309676,...,153.3,...,6.22,...
Cianjur,350760,...,207.07,...,9.15,...
Bandung,345177,...,223.21,...,5.94,...
Garut,301202,...,235.19,...,8.98,...
Tasikmalaya,311848,...,159.93,...,9.12,...
Ciamis,363750,...,79.41,...,6.65,...
Kuningan,340775,...,123.16,...,11.41,...
Cirebon,381372,...,217.64,...,9.94,...
Majalengka,445184,...,121.06,...,10.06,...
Sumedang,342073,...,104.18,...,9.05,...
Indramayu,458240,...,191.86,...,11.11,...
Subang,339607,...,129.18,...,8.12,...
Purwakarta,367273,...,71.86,...,7.48,...
Karawang,440347,...,173.66,...,7.39,...
Bekasi,481732,...,149.43,...,4.01,...
Bandung Barat,341307,...,159.03,...,9.38,...
Pangandaran,367748,...,30.73,...,7.71,...
Kota Bogor,513343,...,63.97,...,5.77,...
Kota Sukabumi,520742,...,21.87,...,6.67,...
Kota Bandung,474448,...,84.67,...,3.38,...
Kota Cirebon,444574,...,26.8,...,8.41,...
Kota Bekasi,617718,...,113.65,...,3.81,...
Kota Depok,644860,...,49.35,...,2.07,...
Kota Cimahi,484804,...,26.91,...,4.39,...
Kota Tasikmalaya,457899,...,76.98,...,11.6,...
Kota Banjar,334590,...,10.07,...,5.5,...
Jawa Barat,386198,...,3399.16,...,6.91,...
