Kabupaten/Kota,Garis Kemiskinan - Maret (Rp),Jumlah Penduduk Miskin - Maret (ribu) (Ribu),Persentase Penduduk Miskin - Maret
Bogor,402877,465.67,7.69
Sukabumi,328284,175.1,7.09
Cianjur,371699,234.47,10.36
Bandung,367403,263.6,6.91
Garut,310437,262.78,9.98
Tasikmalaya,323880,181.52,10.34
Ciamis,378108,91.39,7.62
Kuningan,352358,139.2,12.82
Cirebon,393452,247.94,11.24
Majalengka,453201,138.21,11.43
Sumedang,353092,118.38,10.26
Indramayu,474807,220.31,12.7
Subang,351885,149.81,9.31
Purwakarta,378287,80.17,8.27
Karawang,466152,195.41,8.26
Bekasi,518667,186.3,4.82
Bandung Barat,362212,179.46,10.49
Pangandaran,382264,36.05,8.99
Kota Bogor,547399,75.04,6.68
Kota Sukabumi,547415,25.42,7.7
Kota Bandung,500452,100.02,3.99
Kota Cirebon,457954,30.61,9.52
Kota Bekasi,657953,134.01,4.38
Kota Depok,688194,60.43,2.45
Kota Cimahi,511375,31.64,5.11
Kota Tasikmalaya,470150,86.13,12.97
Kota Banjar,344363,11.16,6.09
Jawa Barat,410988,3920.23,7.88
